name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
Freehand Chicago,"Rs. 117,815","Rs. 51,088",6,4,6,"Chicago, IL"
Congress Plaza Hotel,"Rs. 64,882","Rs. 44,205",6,10,6,"Chicago, IL"
Radisson Blu Aqua Hotel Chicago,"Rs. 193,116","Rs. 112,018",0,Not Found,6,"Chicago, IL"
Hilton Chicago,"Rs. 125,803","Rs. 116,784",22,4,6,"Chicago, IL"
The Pittsfield Hotel: Apartment + Suites,"Rs. 69,207","Rs. 61,761",0,2,6,"Chicago, IL"
La Quinta Inn & Suites Chicago Lake Shore,"Rs. 77,491","Rs. 77,491",3,2,6,"Chicago, IL"
La Quinta Inn & Suites Chicago Downtown,"Rs. 81,356","Rs. 81,356",4,Not Found,5,"Chicago, IL"
"LondonHouse Chicago, Curio Collection by Hilton","Rs. 103,257","Rs. 85,221",7,Not Found,4,"Chicago, IL"
The Langham Chicago,"Rs. 247,998","Rs. 180,362",4,2,6,"Chicago, IL"
Sofitel Chicago Magnificent Mile,"Rs. 159,427","Rs. 113,692",7,Not Found,5,"Chicago, IL"
Central Loop Hotel,"Rs. 109,879","Rs. 74,412",0,6,6,"Chicago, IL"
Chicago Marriott Downtown Magnificent Mile,"Rs. 151,569","Rs. 94,239",3,Not Found,7,"Chicago, IL"
Sheraton Grand Chicago,"Rs. 117,943","Rs. 95,912",7,3,6,"Chicago, IL"
Comfort Suites Michigan Avenue,"Rs. 139,974","Rs. 91,663",0,Not Found,6,"Chicago, IL"
Hyatt Centric The Loop Chicago,"Rs. 134,821","Rs. 89,730",5,4,6,"Chicago, IL"
River Hotel,"Rs. 112,810","Rs. 60,466",0,3,6,"Chicago, IL"
DoubleTree by Hilton Chicago Magnificent Mile,"Rs. 147,704","Rs. 89,730",4,2,6,"Chicago, IL"
Virgin Hotels Chicago,"Rs. 124,385","Rs. 69,151",3,2,12,"Chicago, IL"
Raffaello Hotel,"Rs. 145,707","Rs. 60,357",0,7,6,"Chicago, IL"
Hotel Felix,"Rs. 123,870","Rs. 64,724",0,4,6,"Chicago, IL"
Inn of Chicago,"Rs. 98,684","Rs. 47,683",7,2,6,"Chicago, IL"
Chicago's Essex Inn,"Rs. 85,199","Rs. 43,625",7,4,6,"Chicago, IL"
Courtyard Chicago Downtown/Magnificent Mile,"Rs. 107,766","Rs. 81,485",0,3,12,"Chicago, IL"
"Club Quarters Hotel, Wacker at Michigan","Rs. 112,810","Rs. 60,466",3,3,6,"Chicago, IL"
Dana Hotel And Spa,"Rs. 179,267","Rs. 97,550",0,Not Found,23,"Chicago, IL"
Residence Inn by Marriott Chicago Downtown/Loop,"Rs. 210,830","Rs. 101,969",3,5,12,"Chicago, IL"
Hilton Garden Inn Chicago Downtown/Magnificent Mile,"Rs. 63,320","Rs. 63,320",3,2,6,"Chicago, IL"
The Whitehall Hotel,"Rs. 131,664","Rs. 69,929",0,8,6,"Chicago, IL"
The Palmer House Hilton,"Rs. 131,922","Rs. 131,922",0,3,6,"Chicago, IL"
HI Chicago Hostel,"Rs. 58,038","Rs. 42,098",0,6,6,"Chicago, IL"
Millennium Knickerbocker Chicago,"Rs. 156,210","Rs. 100,632",0,9,6,"Chicago, IL"
"Club Quarters Hotel, Central Loop","Rs. 109,879","Rs. 74,412",0,3,12,"Chicago, IL"
Kinzie Hotel,"Rs. 159,901","Rs. 66,975",0,5,6,"Chicago, IL"
Kimpton Hotel Allegro,"Rs. 222,425","Rs. 166,384",3,3,24,"Chicago, IL"
Chicago Getaway Hostel,"Rs. 39,486","Rs. 19,885",5,15,6,"Chicago, IL"
Travelodge Chicago,"Rs. 46,041","Rs. 46,041",2,2,6,"Chicago, IL"
Hyatt Place Chicago River North,"Rs. 147,703","Rs. 96,814",0,Not Found,39,"Chicago, IL"
Chicago Parthenon Hostel,"Rs. 62,354","Rs. 62,354",0,Not Found,1,"Chicago, IL"
Cambria Hotel & Suites Chicago Magnificent Mile,"Rs. 75,237","Rs. 75,237",3,2,24,"Chicago, IL"
The Peninsula Chicago,"Rs. 249,608","Rs. 202,907",6,2,24,"Chicago, IL"
Homewood Suites by Hilton Chicago-Downtown,"Rs. 103,257","Rs. 71,694",5,Not Found,5,"Chicago, IL"
Hilton Chicago/Magnificent Mile Suites,"Rs. 156,722","Rs. 74,915",3,2,6,"Chicago, IL"
The Drake,"Rs. 161,875","Rs. 89,730",6,Not Found,4,"Chicago, IL"
The Westin Chicago River North,"Rs. 118,430","Rs. 118,430",5,Not Found,8,"Chicago, IL"
Kimpton Gray Hotel,"Rs. 165,740","Rs. 108,410",4,3,12,"Chicago, IL"
AC Hotel Chicago Downtown,"Rs. 121,938","Rs. 80,068",5,Not Found,5,"Chicago, IL"
Loews Chicago Hotel,"Rs. 130,312","Rs. 101,969",5,Not Found,2,"Chicago, IL"
Chicago Athletic Association,"Rs. 139,330","Rs. 89,730",4,Not Found,9,"Chicago, IL"
Staypineapple at The Alise Chicago,"Rs. 116,784","Rs. 77,993",4,Not Found,1,"Chicago, IL"
Conrad Chicago,"Rs. 129,152","Rs. 129,152",10,Not Found,5,"Chicago, IL"
The Westin Michigan Avenue Chicago,"Rs. 121,163","Rs. 84,265",10,4,12,"Chicago, IL"
"The Ritz-Carlton, Chicago","Rs. 204,389","Rs. 150,280",3,Not Found,8,"Chicago, IL"
The Silversmith Hotel,"Rs. 145,771","Rs. 81,308",0,4,6,"Chicago, IL"
Hilton Chicago/Oak Lawn,"Rs. 94,239","Rs. 66,025",0,2,6,"Chicago, IL"
Residence Inn by Marriott Chicago Downtown/Magnificent Mile,"Rs. 150,924","Rs. 73,626",3,2,12,"Chicago, IL"
Trump International Hotel & Tower Chicago,"Rs. 163,099","Rs. 125,480",10,2,6,"Chicago, IL"
"Hotel Lincoln, a Joie de Vivre Hotel","Rs. 157,366","Rs. 56,492",3,2,6,"Chicago, IL"
InterContinental Hotel Chicago,"Rs. 200,266","Rs. 113,564",4,Not Found,37,"Chicago, IL"
W Chicago - Lakeshore,"Rs. 172,440","Rs. 79,039",4,Not Found,5,"Chicago, IL"
Fairfield Inn and Suites Chicago Downtown-River North,"Rs. 125,158","Rs. 79,424",1,Not Found,8,"Chicago, IL"
Omni Chicago Hotel,"Rs. 74,079","Rs. 74,079",3,Data Not Fouund,Data Not Fouund,"Chicago, IL"
Villa D' Citta,"Rs. 139,330","Rs. 120,425",0,2,12,"Chicago, IL"
Kimpton Hotel Palomar Chicago,"Rs. 114,375","Rs. 84,235",6,Data Not Fouund,Data Not Fouund,"Chicago, IL"
Park Hyatt Chicago,"Rs. 191,635","Rs. 155,562",4,Data Not Fouund,Data Not Fouund,"Chicago, IL"
PUBLIC Chicago,"Rs. 121,390","Rs. 62,994",0,3,6,"Chicago, IL"
Acme Hotel Company Chicago,"Rs. 124,179","Rs. 68,331",4,3,12,"Chicago, IL"
BEST WESTERN PLUS Hawthorne Terrace Hotel,"Rs. 162,965","Rs. 93,558",5,Not Found,6,"Chicago, IL"
Three-Bedroom Apartments on Fullerton,"Rs. 146,222","Rs. 128,508",0,Data Not Fouund,Data Not Fouund,"Chicago, IL"
Kimpton Hotel Monaco Chicago,"Rs. 205,677","Rs. 152,213",3,Not Found,11,"Chicago, IL"
"Hotel Blake, an Ascend Hotel Collection Member","Rs. 142,550","Rs. 85,865",0,Not Found,8,"Chicago, IL"
Homewood Suites Chicago Downtown - Magnificent Mile,"Rs. 82,967","Rs. 82,967",2,Not Found,6,"Chicago, IL"
Aloft Chicago City Center,"Rs. 113,565","Rs. 105,832",0,Data Not Fouund,Data Not Fouund,"Chicago, IL"
Thompson Chicago,"Rs. 234,020","Rs. 116,784",0,Not Found,5,"Chicago, IL"
Hampton Inn Chicago Downtown/Magnificent Mile,"Rs. 91,985","Rs. 91,985",7,Not Found,9,"Chicago, IL"
Chicago Lake Shore Hotel,"Rs. 44,472","Rs. 44,472",1,Not Found,40,"Chicago, IL"
Swissotel Chicago,"Rs. 63,916","Rs. 63,916",11,Not Found,6,"Chicago, IL"
Tan Apartment,"Rs. 67,982","Rs. 44,156",0,Data Not Fouund,Data Not Fouund,"Chicago, IL"
