name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
InterContinental Los Angeles Century City at Beverly Hills,"Rs. 179,911","Rs. 168,961",4,3,6,"Los Angeles, CA"
Hotel Sofitel Los Angeles at Beverly Hills,"Rs. 187,641","Rs. 156,722",6,2,6,"Los Angeles, CA"
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills","Rs. 247,416","Rs. 179,316",4,4,6,"Los Angeles, CA"
"Beverly Wilshire, A Four Seasons Hotel","Rs. 390,033","Rs. 367,488",4,3,6,"Los Angeles, CA"
Four Seasons Hotel Los Angeles at Beverly Hills,"Rs. 367,488","Rs. 278,595",9,Not Found,1,"Los Angeles, CA"
Kimpton Hotel Palomar Los Angeles Beverly Hills,"Rs. 105,641","Rs. 105,641",8,Not Found,9,"Los Angeles, CA"
Viceroy L'Ermitage Beverly Hills,"Rs. 297,146","Rs. 297,146",5,4,6,"Los Angeles, CA"
Hotel Bel-Air,"Rs. 538,831","Rs. 444,141",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
DoubleTree by Hilton Hotel Los Angeles - Westside,"Rs. 94,883","Rs. 87,798",0,2,6,"Los Angeles, CA"
Best Western PLUS Sunset Plaza,"Rs. 116,784","Rs. 116,784",1,2,6,"Los Angeles, CA"
Mr C Beverly Hills,"Rs. 199,371","Rs. 173,096",4,3,6,"Los Angeles, CA"
Montage Beverly Hills,"Rs. 415,155","Rs. 386,168",5,Not Found,4,"Los Angeles, CA"
JW Marriott Los Angeles L.A. LIVE,"Rs. 208,254","Rs. 148,348",5,3,6,"Los Angeles, CA"
W Los Angeles – West Beverly Hills,"Rs. 191,675","Rs. 139,785",7,3,24,"Los Angeles, CA"
Viceroy Santa Monica,"Rs. 261,525","Rs. 180,362",7,2,6,"Los Angeles, CA"
Hotel Angeleno,"Rs. 90,506","Rs. 83,388",4,7,6,"Los Angeles, CA"
Doubletree by Hilton Los Angeles Downtown,"Rs. 125,803","Rs. 107,122",3,3,6,"Los Angeles, CA"
Ramada Los Angeles Downtown West,"Rs. 86,509","Rs. 67,829",4,Not Found,6,"Los Angeles, CA"
Beverly Hills Marriott,"Rs. 147,704","Rs. 131,600",5,Not Found,5,"Los Angeles, CA"
Comfort Inn Near Old Town Pasadena,"Rs. 65,446","Rs. 44,833",3,2,6,"Los Angeles, CA"
Le Parc Suite Hotel,"Rs. 173,470","Rs. 173,470",0,3,24,"Los Angeles, CA"
Luxe City Center Hotel,"Rs. 152,213","Rs. 108,153",4,2,6,"Los Angeles, CA"
Millennium Biltmore Los Angeles,"Rs. 166,384","Rs. 143,195",0,4,6,"Los Angeles, CA"
The Beverly Hilton,"Rs. 200,653","Rs. 173,598",4,4,6,"Los Angeles, CA"
The Hollywood Roosevelt,"Rs. 234,767","Rs. 234,767",4,3,6,"Los Angeles, CA"
SIXTY Beverly Hills,"Rs. 154,145","Rs. 133,761",3,Not Found,2,"Los Angeles, CA"
Holiday Inn Express Hollywood Walk of Fame,"Rs. 123,870","Rs. 117,106",0,3,6,"Los Angeles, CA"
Mondrian Los Angeles in West Hollywood,"Rs. 157,916","Rs. 157,916",4,2,6,"Los Angeles, CA"
Studio City Courtyard Hotel,"Rs. 63,320","Rs. 55,783",4,Not Found,2,"Los Angeles, CA"
Azul Inn West Los Angeles - Century City,"Rs. 77,858","Rs. 66,541",3,2,12,"Los Angeles, CA"
Hotel Normandie - Los Angeles,"Rs. 108,410","Rs. 87,244",0,2,6,"Los Angeles, CA"
Beverly Hills Plaza Hotel,"Rs. 112,404","Rs. 105,447",3,4,6,"Los Angeles, CA"
O Hotel,"Rs. 84,525","Rs. 84,525",1,3,6,"Los Angeles, CA"
The Mayfair Hotel,"Rs. 69,761","Rs. 44,324",3,7,6,"Los Angeles, CA"
DoubleTree Suites by Hilton Santa Monica,"Rs. 150,280","Rs. 150,280",0,3,6,"Los Angeles, CA"
Holiday Inn Los Angeles - LAX Airport,"Rs. 73,626","Rs. 65,961",5,10,6,"Los Angeles, CA"
Hollywood Hills Suites,"Rs. 69,800","Rs. 69,800",0,Not Found,9,"Los Angeles, CA"
Best Western PLUS Hollywood Hills,"Rs. 107,246","Rs. 93,590",0,6,6,"Los Angeles, CA"
W Hollywood,"Rs. 196,658","Rs. 196,658",0,Not Found,5,"Los Angeles, CA"
The BLVD Hotel & Spa,"Rs. 107,380","Rs. 107,380",0,2,6,"Los Angeles, CA"
Glendon Apartments,"Rs. 107,766","Rs. 87,218",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Courtyard Los Angeles Westside,"Rs. 99,070","Rs. 87,153",3,2,6,"Los Angeles, CA"
Sunset Marquis Hotel,"Rs. 188,414","Rs. 188,414",0,3,24,"Los Angeles, CA"
Luxe Sunset Boulevard Hotel,"Rs. 131,858","Rs. 131,858",0,Not Found,5,"Los Angeles, CA"
LEVEL Furnished Living Suites Downtown Los Angeles,"Rs. 202,070","Rs. 162,519",7,2,6,"Los Angeles, CA"
Los Angeles Airport Marriott,"Rs. 90,374","Rs. 80,712",3,9,6,"Los Angeles, CA"
Luxe Rodeo Drive Hotel,"Rs. 144,483","Rs. 144,483",4,7,6,"Los Angeles, CA"
The Charlie West Hollywood,"Rs. 286,647","Rs. 249,801",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
The Westin Bonaventure Hotel & Suites,"Rs. 297,011","Rs. 181,845",0,Not Found,5,"Los Angeles, CA"
Wingate by Wyndham Los Angeles Airport,"Rs. 94,690","Rs. 64,479",3,3,6,"Los Angeles, CA"
Hollywood City Inn,"Rs. 69,761","Rs. 60,743",0,3,6,"Los Angeles, CA"
Sportsmen's Lodge Hotel,"Rs. 103,901","Rs. 63,062",0,5,6,"Los Angeles, CA"
Courtyard Los Angeles Century City/Beverly Hills,"Rs. 140,618","Rs. 102,613",0,2,24,"Los Angeles, CA"
"The Standard, Downtown LA","Rs. 167,028","Rs. 133,192",4,9,6,"Los Angeles, CA"
La Quinta Inn & Suites LAX,"Rs. 57,265","Rs. 57,265",0,13,6,"Los Angeles, CA"
Avalon Hotel Beverly Hills,"Rs. 183,776","Rs. 170,249",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Nite Inn at Universal City,"Rs. 78,780","Rs. 62,998",1,2,6,"Los Angeles, CA"
The Moment Hotel,"Rs. 123,870","Rs. 107,766",3,Not Found,6,"Los Angeles, CA"
The Westin Los Angeles Airport,"Rs. 102,292","Rs. 86,831",0,3,6,"Los Angeles, CA"
Holiday Inn Express Los Angeles LAX Airport,"Rs. 92,951","Rs. 77,491",4,3,12,"Los Angeles, CA"
The Hotel Hollywood,"Rs. 78,715","Rs. 68,087",2,4,6,"Los Angeles, CA"
Hollywood Inn Express South,"Rs. 59,023","Rs. 53,142",3,5,6,"Los Angeles, CA"
Highland Gardens Hotel,"Rs. 80,757","Rs. 80,757",0,2,6,"Los Angeles, CA"
American Hotel,"Rs. 60,872","Rs. 56,750",0,6,6,"Los Angeles, CA"
Hilton Los Angeles Airport,"Rs. 89,730","Rs. 67,185",5,7,6,"Los Angeles, CA"
Renaissance Los Angeles Airport Hotel,"Rs. 86,509","Rs. 86,509",0,11,6,"Los Angeles, CA"
