name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
Grand Hyatt New York,"Rs. 170,893","Rs. 161,875",6,3,6,"New York, NY"
New York Marriott Marquis,"Rs. 219,204","Rs. 158,654",0,2,6,"New York, NY"
Hotel Pennsylvania,"Rs. 63,339","Rs. 63,339",6,76,6,"New York, NY"
Row NYC at Times Square,"Rs. 116,784","Rs. 81,356",7,13,6,"New York, NY"
InterContinental New York Times Square,"Rs. 210,186","Rs. 132,244",4,11,6,"New York, NY"
Nomo Soho,"Rs. 183,067","Rs. 183,067",3,Not Found,55,"New York, NY"
The Quin,"Rs. 248,835","Rs. 171,279",5,Not Found,6,"New York, NY"
Wellington Hotel,"Rs. 167,672","Rs. 73,433",7,14,6,"New York, NY"
Hotel Edison,"Rs. 123,683","Rs. 97,621",3,35,6,"New York, NY"
Residence Inn by Marriott New York Manhattan/Times Square,"Rs. 192,794","Rs. 165,096",0,Not Found,56,"New York, NY"
Paramount Times Square,"Rs. 169,218","Rs. 120,005",5,Not Found,4,"New York, NY"
Radisson Martinique on Broadway,"Rs. 137,446","Rs. 78,747",6,9,6,"New York, NY"
The Time New York,"Rs. 148,051","Rs. 96,091",4,3,6,"New York, NY"
Park Central,"Rs. 79,782","Rs. 79,782",6,37,6,"New York, NY"
RIU Plaza New York Times Square,"Rs. 138,041","Rs. 107,251",3,4,6,"New York, NY"
Courtyard by Marriott New York Manhattan/Central Park,"Rs. 172,825","Rs. 113,886",3,4,6,"New York, NY"
Wyndham New Yorker Hotel,"Rs. 130,531","Rs. 68,087",0,13,6,"New York, NY"
Hyatt Place New York,"Rs. 161,875","Rs. 125,803",0,15,6,"New York, NY"
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,"Rs. 167,672","Rs. 89,795",4,7,6,"New York, NY"
Night Hotel Times Square,"Rs. 100,552","Rs. 82,516",5,4,6,"New York, NY"
"Hudson New York, Central Park","Rs. 70,406","Rs. 70,406",6,12,6,"New York, NY"
The Manhattan at Times Square,"Rs. 139,458","Rs. 76,380",0,8,6,"New York, NY"
New York Hilton Midtown,"Rs. 171,537","Rs. 139,330",9,8,6,"New York, NY"
Park Lane Hotel - A Central Park Hotel,"Rs. 99,289","Rs. 99,289",3,15,6,"New York, NY"
Warwick New York,"Rs. 144,399","Rs. 102,130",5,6,6,"New York, NY"
The Evelyn,"Rs. 129,040","Rs. 102,176",0,Not Found,5,"New York, NY"
La Quinta Inn & Suites Manhattan,"Rs. 88,571","Rs. 88,571",0,12,6,"New York, NY"
Days Hotel Broadway at 94th Street,"Rs. 96,519","Rs. 67,662",8,12,6,"New York, NY"
The Gallivant Times Square,"Rs. 120,134","Rs. 79,746",5,3,6,"New York, NY"
The Knickerbocker,"Rs. 200,984","Rs. 161,456",3,5,6,"New York, NY"
The Hotel at Times Square,"Rs. 82,773","Rs. 82,773",1,8,6,"New York, NY"
Crowne Plaza Times Square,"Rs. 156,206","Rs. 92,693",4,16,6,"New York, NY"
West Side YMCA,"Rs. 51,480","Rs. 51,480",5,15,6,"New York, NY"
Pod 39,"Rs. 109,828","Rs. 85,028",5,9,6,"New York, NY"
Pod 51,"Rs. 121,744","Rs. 85,994",0,14,6,"New York, NY"
ONE UN New York,"Rs. 144,112","Rs. 110,778",0,3,6,"New York, NY"
Andaz 5th Avenue,"Rs. 191,635","Rs. 191,635",3,2,6,"New York, NY"
"The Pierre, A Taj Hotel, New York","Rs. 475,061","Rs. 374,251",3,Not Found,9,"New York, NY"
EVEN Hotel New York - Midtown East 44th,"Rs. 141,906","Rs. 106,478",4,8,6,"New York, NY"
Wingate by Wyndham Manhattan Midtown,"Rs. 112,340","Rs. 78,999",1,2,6,"New York, NY"
JW Marriott Essex House New York,"Rs. 261,074","Rs. 193,438",5,6,6,"New York, NY"
The Roxy Hotel Tribeca,"Rs. 259,077","Rs. 259,077",0,Not Found,2,"New York, NY"
The Mercer,"Rs. 473,450","Rs. 423,013",0,6,24,"New York, NY"
City Club Hotel,"Rs. 266,272","Rs. 266,272",0,Not Found,5,"New York, NY"
Holiday Inn Express New York City Chelsea,"Rs. 150,924","Rs. 100,423",3,3,6,"New York, NY"
Aloft Harlem,"Rs. 142,549","Rs. 111,585",0,Not Found,6,"New York, NY"
Hampton Inn Manhattan-SoHo,"Rs. 150,280","Rs. 87,153",3,2,6,"New York, NY"
Soho Grand Hotel,"Rs. 198,141","Rs. 163,099",0,2,6,"New York, NY"
Hilton Garden Inn New York/Manhattan-Chelsea,"Rs. 225,002","Rs. 168,703",4,Not Found,6,"New York, NY"
Nolitan Hotel SoHo - New York,"Rs. 166,191","Rs. 109,506",6,2,6,"New York, NY"
Hotel Belleclaire,"Rs. 130,585","Rs. 81,791",3,4,6,"New York, NY"
The Gregory,"Rs. 156,722","Rs. 138,686",4,3,6,"New York, NY"
The Kimpton Muse Hotel,"Rs. 306,165","Rs. 143,839",4,3,6,"New York, NY"
Holiday Inn Express - Times Square South,"Rs. 132,373","Rs. 98,748",0,7,6,"New York, NY"
The Premier Times Square,"Rs. 133,484","Rs. 107,396",0,Data Not Fouund,Data Not Fouund,"New York, NY"
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,"Rs. 146,222","Rs. 88,184",5,4,6,"New York, NY"
6 Columbus - A SIXTY Hotel,"Rs. 156,657","Rs. 156,657",0,Data Not Fouund,Data Not Fouund,"New York, NY"
"The Lexington New York City, Autograph Collection","Rs. 153,179","Rs. 109,699",4,7,6,"New York, NY"
Dream Midtown,"Rs. 109,956","Rs. 101,582",6,5,6,"New York, NY"
Avalon Hotel,"Rs. 119,490","Rs. 98,748",4,Not Found,58,"New York, NY"
Hyatt Centric Times Square New York,"Rs. 266,223","Rs. 198,588",3,5,6,"New York, NY"
The Mark New York,"Rs. 352,350","Rs. 276,018",9,Not Found,52,"New York, NY"
Courtyard by Marriott New York Manhattan/Chelsea,"Rs. 158,654","Rs. 125,158",5,4,6,"New York, NY"
The Standard - East Village,"Rs. 192,794","Rs. 152,084",0,2,6,"New York, NY"
Sheraton Tribeca New York Hotel,"Rs. 113,757","Rs. 113,757",4,3,6,"New York, NY"
"Club Quarters Hotel, Grand Central","Rs. 138,686","Rs. 138,686",0,Data Not Fouund,Data Not Fouund,"New York, NY"
Hilton Garden Inn Central Park South,"Rs. 154,403","Rs. 99,199",5,2,6,"New York, NY"
Hyatt New York Herald Square/5th Avenue,"Rs. 174,757","Rs. 139,330",0,6,6,"New York, NY"
DoubleTree by Hilton Metropolitan New York City,"Rs. 161,875","Rs. 116,784",8,6,6,"New York, NY"
Hilton New York Grand Central,"Rs. 173,148","Rs. 137,075",0,Not Found,1,"New York, NY"
Smyth - A Thompson Hotel,"Rs. 205,162","Rs. 160,522",0,Data Not Fouund,Data Not Fouund,"New York, NY"
"The Beekman, a Thompson Hotel","Rs. 292,637","Rs. 175,466",0,3,6,"New York, NY"
Trump International New York,"Rs. 375,217","Rs. 375,217",3,Not Found,4,"New York, NY"
NH New York Jolly Madison Towers,"Rs. 143,839","Rs. 95,077",4,2,6,"New York, NY"
Royalton Times Square,"Rs. 94,110","Rs. 94,110",0,2,6,"New York, NY"
AKA Wall Street,"Rs. 139,458","Rs. 107,380",4,3,12,"New York, NY"
The Gotham Hotel,"Rs. 150,393","Rs. 108,845",0,5,6,"New York, NY"
Hotel Chandler,"Rs. 195,413","Rs. 195,413",0,4,24,"New York, NY"
HGU New York,"Rs. 149,412","Rs. 93,788",1,Not Found,1,"New York, NY"
Orchard Street Hotel,"Rs. 131,774","Rs. 110,324",0,2,6,"New York, NY"
Homewood Suites Midtown Manhattan Times Square South,"Rs. 133,761","Rs. 99,006",0,Not Found,6,"New York, NY"
Arlo SoHo,"Rs. 175,402","Rs. 144,483",0,5,6,"New York, NY"
"CAMBRiA Hotel & Suites, New York – Times Square","Rs. 172,181","Rs. 118,073",3,8,6,"New York, NY"
Doubletree By Hilton New York Times Square West,"Rs. 122,260","Rs. 82,258",4,2,6,"New York, NY"
Comfort Inn Times Square South Area,"Rs. 134,821","Rs. 91,985",5,4,24,"New York, NY"
Dream Downtown,"Rs. 206,463","Rs. 157,881",3,Not Found,1,"New York, NY"
